,nakasero_ii(2)
kansanga,0.1899508
nansana_east,0.294856255
lubaga,0.1965583
nansana_west,0.418008054
lukuli(2),0.1812548
bugolobi,0.1838285
kyaliwajjala,0.2299374
seguku,0.178320493
kiwafu,0.304886483
kiwatule,0.1899971
civic_centre,0.134368266
makindye_i,0.194510978
