,lubaga
nansana_west,0.372807133
lukuli(2),0.2366763
bugolobi,0.2626651
kyaliwajjala,0.1910798
seguku,0.200634856
kiwafu,0.354729122
kiwatule,0.2439866
civic_centre,0.181186334
makindye_i,0.189675932
