,nansana_east
lubaga,0.22675678023783705
nansana_west,0.33634248877679357
lukuli(2),0.31043444275230775
bugolobi,0.3332616376315324
kyaliwajjala,0.1835340783095599
seguku,0.29096912023266897
kiwafu,0.44932948685020013
kiwatule,0.326480616786703
civic_centre,0.2515388148989271
makindye_i,0.2331769549214421
