,nansana_west
lukuli(2),0.4402012670972778
bugolobi,0.4542350230389345
kyaliwajjala,0.36594252164206964
seguku,0.40908676367133806
kiwafu,0.5227039152080794
kiwatule,0.46425987441050015
civic_centre,0.3929542121070298
makindye_i,0.3834923718628163
