,kansanga
nansana_east,0.367006288
lubaga,0.2622602
nansana_west,0.468170211
lukuli(2),0.1745023
bugolobi,0.1707887
kyaliwajjala,0.29239
seguku,0.2232017
kiwafu,0.2642622
kiwatule,0.1921324
civic_centre,0.216755321
makindye_i,0.2364755
