,lubaga
nansana_west,0.31976858709017414
lukuli(2),0.2885435697332856
bugolobi,0.3161865035536454
kyaliwajjala,0.2164621846112002
seguku,0.20596556108133796
kiwafu,0.34181875830685565
kiwatule,0.24445320510609414
civic_centre,0.21263474703469298
makindye_i,0.23474143359847227
