,kansanga
nansana_east,0.3816325511334316
lubaga,0.3247262258713339
nansana_west,0.4479938833952559
lukuli(2),0.17692376323114695
bugolobi,0.14313242458792108
kyaliwajjala,0.3167080543124829
seguku,0.27371208450476003
kiwafu,0.23403057005801625
kiwatule,0.2715097677549474
civic_centre,0.2519122339844719
makindye_i,0.24917808962805693
