,lukuli(2)
bugolobi,0.1520077868425815
kyaliwajjala,0.26985335333862537
seguku,0.2401947419417065
kiwafu,0.26284176760210465
kiwatule,0.26146103338389753
civic_centre,0.21379637574945773
makindye_i,0.16766159226920974
