,nansana_east
lubaga,0.23116949861558145
nansana_west,0.30584290419622595
lukuli(2),0.31726562880429027
bugolobi,0.35352915151446335
kyaliwajjala,0.21433817649854853
seguku,0.25263396363625923
kiwafu,0.40096168500544666
kiwatule,0.29644853875565813
civic_centre,0.24452071900140931
makindye_i,0.24712824098547032
