,nansana_west
lukuli(2),0.4120593185101945
bugolobi,0.4355396647743671
kyaliwajjala,0.33522888092731656
seguku,0.34157638159231707
kiwafu,0.4577545320034758
kiwatule,0.41018031306347696
civic_centre,0.3306530978619976
makindye_i,0.34719329706173047
