,nakasero_ii(2)
kansanga,0.19331411820191652
nansana_east,0.3139612054274136
lubaga,0.2640783722491706
nansana_west,0.39289503155560895
lukuli(2),0.1834863934214523
bugolobi,0.18000134416952351
kyaliwajjala,0.26039509739600575
seguku,0.21454238801517436
kiwafu,0.2647730943223894
kiwatule,0.24812323004324355
civic_centre,0.1857326784034432
makindye_i,0.20860138257158792
