,makindye_i
civic_centre,0.3394173804983241
kiwatule,0.4203841514006147
kiwafu,0.3688298116957907
seguku,0.35663215187589875
kyaliwajjala,0.38812711242820996
bugolobi,0.37175521294147434
lukuli(2),0.2917112379486941
nansana_west,0.387382726204756
lubaga,0.40390096864293196
nansana_east,0.3749145841336973
kansanga,0.36230420915929445
nakasero_ii(2),0.34652972505270474
