d,s,p,pop,hhs,fem_hhs,long,lat,km2,area,perimeter,T123,not_T123,light_gas_pc,light_gas_per_km,light_lpg_pc,light_lpg_per_km,light_biogas_pc,light_biogas_per_km,light_par_lantern_pc,light_par_lantern_per_km,light_par_tadooba_pc,light_par_tadooba_per_km,light_candles_pc,light_candles_per_km,light_firewood_pc,light_firewood_per_km,light_cow_dung_pc,light_cow_dung_per_km,light_grass_pc,light_grass_per_km,cook_elec_therm_pc,cook_elec_therm_per_km,cook_gas_pc,cook_gas_per_km,cook_lpg_pc,cook_lpg_per_km,cook_biogas_pc,cook_biogas_per_km,cook_par_lantern_pc,cook_par_lantern_per_km,cook_charc_pc,cook_charc_per_km,cook_firewood_pc,cook_firewood_per_km,cook_dung_pc,cook_dung_per_km,cook_grass_pc,cook_grass_per_km,waste_burn_pc,waste_burn_per_km,kitch_outside_built_pc,kitch_outside_built_per_km,kitch_make_shift_pc,kitch_make_shift_per_km,kitch_open_space_pc,kitch_open_space_per_km,pop_density,hhs_density,pop_per_hhs,T123_per_sqkm,not_T123_per_sqkm,T123_per_person,not_T123_per_person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,UPK,1192,173,28.9,32.62580486,0.350614009,0.762457217,0.755742725,4.753399084,12.20390659,8.862931381,0.58,1.31,0,0,0,0,6.36,14.43,5.2,11.8,16.18,36.72,0,0,0,0,0,0,0,0,1.16,2.62,0,0,0,0,2.31,5.25,53.76,121.97,23.12,52.46,0,0,0,0,83.24,188.86,19.65,44.59,5.2,11.8,27.75,62.95,1563.37,226.9,6.89,16.01,11.62,1.02,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,NAKAWA,1601,688,51.3,32.61260714,0.325836162,0.494702892,0.490368701,4.851018012,11.33082068,7.808617785,0.15,2.02,0.15,2.02,0.15,2.02,3.63,50.54,1.16,16.17,7.27,101.07,0,0,0,0,0,0,0,0,2.47,34.36,0,0,0.73,10.11,19.62,272.89,66.57,925.81,0.73,10.11,0,0,0,0,0.29,4.04,2.33,32.34,6.69,92.99,63.52,883.36,3236.29,1390.73,2.33,22.9,15.78,0.71,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,BUKOTO I,23045,6386,30.8,32.59644376,0.352933215,2.097908649,2.079644576,6.50574176,35.19902535,28.12088607,0.11,3.34,0.19,5.72,0.03,0.95,4.04,122.98,1.64,50.05,7.92,241.19,0.02,0.48,0,0,0,0,0.09,2.86,7.47,227.37,1.35,40.99,0.55,16.68,4.02,122.5,77.22,2350.44,1.93,58.63,0,0,0,0,10.21,310.79,15.13,460.46,2.51,76.27,43.66,1328.94,10984.75,3043.98,3.61,16.78,13.4,0.15,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,MBUYA I,25444,7177,25.4,32.62640306,0.33159803,2.315836535,2.295437739,8.046859847,43.43466536,28.2265496,0.07,2.16,0.01,0.43,0.04,1.3,4.86,150.7,6.19,191.72,9.08,281.54,0.01,0.43,0,0,0,0,0.03,0.86,1.41,43.61,0.08,2.59,0.38,11.66,3.18,98.45,83.45,2586.11,1.55,47.93,0.01,0.43,0,0,5.03,155.88,10.05,311.33,5.77,178.77,55.36,1715.58,10986.96,3099.1,3.55,18.76,12.19,0.17,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,LUZIRA,19518,5315,30.7,32.65361396,0.287842649,9.80086886,9.713614555,20.46526577,39.03692027,29.93606909,0.04,0.2,0.02,0.1,0.15,0.82,5.98,32.45,3.57,19.39,10.84,58.77,0.02,0.1,0,0,0,0,0.11,0.61,5.98,32.45,0.3,1.63,0.62,3.37,4.38,23.77,79.1,428.94,3.22,17.45,0,0,0,0,15.62,84.69,19.04,103.26,4.31,23.37,39.3,213.14,1991.46,542.3,3.67,3.98,3.05,0.2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,BUGOLOBI,5023,1279,23.6,32.62265715,0.311175542,3.912260331,3.877849704,9.85479216,30.89132221,20.54300656,0.08,0.26,0.08,0.26,0,0,1.25,4.09,1.56,5.11,3.44,11.25,0,0,0,0,0,0,0.08,0.26,44.02,143.91,13.14,42.94,0.16,0.51,1.17,3.83,28.62,93.55,2.97,9.71,0,0,0,0,6.96,22.75,6.1,19.94,3.83,12.52,6.88,22.49,1283.91,326.92,3.93,7.9,5.25,0.61,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,BUTABIKA,19550,5073,25.8,32.65835339,0.314500152,4.044693516,4.008621627,10.02283171,45.44810472,40.24294031,0.06,0.74,0.16,1.98,0.14,1.73,7.83,98.15,5.2,65.27,11.77,147.6,0.04,0.49,0,0,0.02,0.25,0.06,0.74,2.54,31.89,1.58,19.78,0.22,2.72,3.69,46.23,83.52,1047.55,3.53,44.26,0,0,0.02,0.25,21.07,264.3,24.01,301.14,4.63,58.1,41.75,523.65,4833.49,1254.24,3.85,11.24,9.95,0.23,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,KYANJA,24371,6072,24.4,32.60367039,0.386249403,7.219967349,7.156933924,13.20779157,86.84439132,81.32132839,0.03,0.28,0.05,0.42,0.16,1.39,6.92,58.17,2.57,21.61,6.13,51.52,0.05,0.42,0,0,0,0,0.07,0.55,9.09,76.45,1.45,12.19,0.33,2.77,2.68,22.58,74.09,623.13,6.13,51.52,0,0,0.02,0.14,38.24,321.61,24.46,205.68,2.7,22.71,30.2,254.02,3375.5,841,4.01,12.03,11.26,0.36,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,BUKOTO II,22773,6414,33.2,32.61240386,0.362797732,3.654241273,3.622228712,9.374780664,65.09397964,46.08620578,0.03,0.55,0.05,0.82,0.06,1.09,3.45,60.48,1.71,30.1,4.02,70.6,0.02,0.27,0,0,0,0,0.06,1.09,12.52,219.74,1.14,19.98,1.12,19.7,3.68,64.58,69.82,1225.43,2.79,48.98,0,0,0.02,0.27,20.02,351.37,22.48,394.61,4.71,82.64,28.39,498.33,6231.94,1755.22,3.55,17.81,12.61,0.29,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,KISWA,3919,1506,45,32.61712969,0.321991113,0.529993565,0.525342051,4.264249551,8.445790406,5.227578339,0.13,3.77,0.13,3.77,0.53,15.09,3.65,103.77,2.59,73.59,5.64,160.38,0,0,0,0,0,0,0,0,23.64,671.71,2.72,77.36,0.86,24.53,14.54,413.21,39.31,1116.99,1.66,47.17,0,0,0,0,6.97,198.12,5.71,162.27,2.39,67.93,29.81,847.18,7394.43,2841.54,2.6,15.94,9.86,0.22,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,BANDA,20576,6260,31.5,32.63674317,0.343531741,1.505069822,1.491759327,9.277991137,35.55987089,21.64889433,0,0,0.13,5.32,0.14,5.98,3.74,155.47,7.11,295.67,5.5,228.56,0,0,0,0,0.06,2.66,0.05,1.99,2.27,94.35,0.16,6.64,0.19,7.97,9.06,376.73,75.72,3149.36,1.84,76.41,0,0,0,0,16.07,668.41,12.99,540.17,4.57,190.02,42.3,1759.39,13671.13,4159.28,3.29,23.63,14.38,0.17,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,MBUYA II,12552,3308,25.7,32.63254473,0.324873611,1.780707362,1.764984437,7.090073085,34.54076529,21.24237413,0.06,1.12,0.03,0.56,0.06,1.12,4.59,85.36,3.2,59.53,7.26,134.78,0.03,0.56,0,0,0.03,0.56,0.12,2.25,5.62,104.45,0.88,16.29,0.51,9.55,3.84,71.32,76.84,1427.52,2.21,40.99,0,0,0,0,14.15,262.82,21.55,400.4,6.83,126.92,37.42,695.23,7048.88,1857.69,3.79,19.4,11.93,0.28,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,UPPER ESTATE,2018,583,25.9,32.63163057,0.35611113,1.406983916,1.394565484,6.56712348,28.45175478,14.68018255,0.34,1.42,0.17,0.71,0.51,2.13,3.77,15.64,0.69,2.84,6.69,27.72,0,0,0,0,0.17,0.71,0.17,0.71,17.15,71.07,0.69,2.84,1.72,7.11,2.92,12.08,57.63,238.81,9.26,38.38,0,0,0,0,40.31,167.02,16.64,68.94,7.72,31.98,19.55,81.02,1434.27,414.36,3.46,20.22,10.43,1.41,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,NAGURU II,26777,7023,22.7,32.60567952,0.342054355,3.317308603,3.288323886,7.280574313,56.24908819,40.40056161,0.01,0.3,0.07,1.51,0.09,1.81,4.43,93.75,2.78,58.78,8.04,170.32,0.01,0.3,0,0,0,0,0.03,0.6,6.36,134.75,0.5,10.55,0.47,9.95,1.5,31.65,61.33,1298.34,1.1,23.21,0,0,0,0,4.46,94.35,12.96,274.32,5.17,109.43,32.79,694.24,8071.91,2117.08,3.81,16.96,12.18,0.21,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,MUTUNGO,64663,17343,28.4,32.64222107,0.316613229,4.482537569,4.442809758,9.700244779,66.00327034,57.66764854,0.05,2.01,0.07,2.68,0.12,4.46,3.85,149.02,2.5,96.6,5.97,231.12,0.01,0.45,0.01,0.22,0,0,0.09,3.57,5.07,196.09,0.38,14.72,0.43,16.51,4.29,165.98,82.52,3192.83,1.91,73.84,0,0,0.01,0.22,12.54,484.99,26.48,1024.42,5.37,207.69,37.81,1462.79,14425.53,3869.01,3.73,14.72,12.86,0.1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
