d,s,p,pop,hhs,fem_hhs,long,lat,km2,area,perimeter,T123,not_T123,light_gas_pc,light_gas_per_km,light_lpg_pc,light_lpg_per_km,light_biogas_pc,light_biogas_per_km,light_par_lantern_pc,light_par_lantern_per_km,light_par_tadooba_pc,light_par_tadooba_per_km,light_candles_pc,light_candles_per_km,light_firewood_pc,light_firewood_per_km,light_cow_dung_pc,light_cow_dung_per_km,light_grass_pc,light_grass_per_km,cook_elec_therm_pc,cook_elec_therm_per_km,cook_gas_pc,cook_gas_per_km,cook_lpg_pc,cook_lpg_per_km,cook_biogas_pc,cook_biogas_per_km,cook_par_lantern_pc,cook_par_lantern_per_km,cook_charc_pc,cook_charc_per_km,cook_firewood_pc,cook_firewood_per_km,cook_dung_pc,cook_dung_per_km,cook_grass_pc,cook_grass_per_km,waste_burn_pc,waste_burn_per_km,kitch_outside_built_pc,kitch_outside_built_per_km,kitch_make_shift_pc,kitch_make_shift_per_km,kitch_open_space_pc,kitch_open_space_per_km,pop_density,hhs_density,pop_per_hhs,T123_per_sqkm,not_T123_per_sqkm,T123_per_person,not_T123_per_person,geometry,centroid
WAKISO,WAKISO,KYEBANDO,61051,14763,21.3,32.513362050522268,0.35614857705200936,10.501383289375585,10.41291637,15.21738219,113.9385319,102.4249047,0.07,0.95,0.09,1.33,0.64,9.05,15.26,214.54,6.57,92.37,9.7,136.36,0.15,2.09,0,0,0.01,0.1,0.05,0.76,0.39,5.52,0.1,1.43,0.22,3.05,2.19,30.76,86.83,1220.6,6.4,89.99,0.01,0.1,0,0,71.24,1001.49,36.23,509.36,5.3,74.56,34.87,490.22,5813.62,1405.81,4.14,10.85,9.75,0.19,0.17,"POLYGON((32.5252889374246 0.334884258953588, 32.5257246468743 0.33540348982563, 32.5258057212308 0.335539539540979, 32.5259881464239 0.335757220237081, 32.5261638126864 0.33599530891629, 32.5266705487188 0.336519108518321, 32.5268901384145 0.336712982894763, 32.5271846480463 0.337125146118483, 32.5275657757463 0.337658529494264, 32.5279711580082 0.338236742194369, 32.5287245065677 0.339070057071579, 32.529028543453 0.339491812591924, 32.5296670387608 0.340005413965535, 32.5301062202908 0.34031834031258, 32.5307345791231 0.340862552844965, 32.5312075413464 0.341216293941307, 32.5313933501925 0.341342143898951, 32.5315082103385 0.341450985525821, 32.5315143851498 0.34146756363592, 32.531548745566 0.341559825288019, 32.5317379307764 0.341702680247044, 32.5318663060399 0.341791116034598, 32.5319473862659 0.341845539831568, 32.5320554886072 0.341988392596736, 32.5321503193593 0.342060000129661, 32.5321906211714 0.342090431861239, 32.5322987245143 0.34221287811615, 32.5324068305163 0.342280906393008, 32.5324879087594 0.342376143228782, 32.532548716593 0.342437365788687, 32.5326365549831 0.342450975083063, 32.5328595219737 0.342648251531793, 32.5329068181573 0.342695870287124, 32.5329203264906 0.342777497027943, 32.533021675019 0.34287273487544, 32.5332108582974 0.343056404717712, 32.5332919392122 0.343097221769621, 32.5333324754489 0.343185653232697, 32.5333966614413 0.343263882607958, 32.5335250397426 0.34329109886317, 32.5337480064438 0.343495176912899, 32.533950705065 0.343617627882385, 32.5342547623528 0.343665259354615, 32.5343763841825 0.343699276845504, 32.5344507058303 0.343767303470196, 32.5344844875775 0.343821723138312, 32.5345902597811 0.343798064910812, 32.5346061124012 0.343794519251873, 32.5346196237291 0.343814928252579, 32.534734491397 0.343808130552998, 32.5348763835218 0.343842149044687, 32.5349777330906 0.34391697857963, 32.5352750328072 0.343957808132833, 32.5353426002976 0.343985019568432, 32.5353966533342 0.344019033717721, 32.535545302303 0.344039447587091, 32.5357615192431 0.344114282798229, 32.5358898969398 0.344155104000155, 32.5360723293408 0.344195926060895, 32.536359492812 0.344260561507326, 32.5364417159801 0.344282984156516, 32.5366055979661 0.344327675626624, 32.5366838185367 0.344349007003408, 32.5370108558518 0.344431332299559, 32.5365146766828 0.344838895573293, 32.5355140362918 0.345908055379015, 32.5342040469753 0.347074564558015, 32.5333349231812 0.347759249549371, 32.5330829765452 0.348494685804667, 32.5327176773326 0.349090634352733, 32.5321634359049 0.349876775640356, 32.5318737078479 0.350510768847842, 32.5312942862518 0.351068666141426, 32.5308912075471 0.351525130510037, 32.5305007261433 0.351930875917345, 32.5299842853864 0.352438055685415, 32.5295056378048 0.352805755423931, 32.5292537109258 0.353135425738866, 32.5290647609235 0.3534777805009, 32.5288506156501 0.35389621412936, 32.5283089813581 0.354441432324796, 32.5279331820299 0.354760273104801, 32.5274272584331 0.355189515344024, 32.5260038921315 0.356634977015956, 32.5257771439051 0.357205571742995, 32.5254496415055 0.357573278631036, 32.5250213747152 0.357953660503823, 32.5245301323344 0.358295998018787, 32.524303403019 0.358498868554205, 32.5239633061501 0.358841213935283, 32.5237380351861 0.359167748410308, 32.5236483955729 0.359297682604234, 32.5234753163654 0.359640841016145, 32.5232327002136 0.360121869797451, 32.5227540360564 0.360793891470992, 32.522542328781 0.361012462846186, 32.5222627847867 0.361301069995458, 32.5217841258022 0.361871650690939, 32.5213684503149 0.362328113596941, 32.5210157550028 0.362733858537002, 32.5207386286119 0.363203008168688, 32.520285166825 0.363659468836836, 32.5198191138137 0.364014487117997, 32.5194664339117 0.364128589089862, 32.5189248194039 0.364280721750427, 32.5184839719866 0.364369458251227, 32.5181816759907 0.364445522829536, 32.5178289940903 0.36459766562268, 32.5174511126602 0.364901968038712, 32.5174259178899 0.364965367320116, 32.5173755285643 0.365104846192616, 32.5171991807907 0.365307717945786, 32.5170732148419 0.365510593337559, 32.5169850352509 0.365726150188294, 32.5171808935976 0.365997231473368, 32.5167053296506 0.366356260197041, 32.5165038347672 0.366670310296215, 32.5159681737435 0.367505193675175, 32.5158254912418 0.36786424048739, 32.5156590179246 0.368462655735277, 32.5154449898937 0.369061067417751, 32.5151596272456 0.369731286754172, 32.5152784688959 0.370545149943268, 32.5153973091598 0.371382950676694, 32.5154448208536 0.372148935812369, 32.5155636635974 0.372938862458002, 32.515658738631 0.373561228785181, 32.5157082268968 0.374023228658239, 32.5157083211429 0.374122932289697, 32.5156753351985 0.374244667189534, 32.51559837054 0.374477069145732, 32.5155763657134 0.374820143698962, 32.5155689616194 0.374852435728273, 32.5155433776286 0.374964012134495, 32.5155323796378 0.375063613814039, 32.5154774106032 0.375118945940165, 32.5154444252487 0.375229613606685, 32.5154346301481 0.375239474311546, 32.5153784631234 0.375296011430914, 32.5153234953132 0.375329209106754, 32.5153151977813 0.375331993314076, 32.5131192271426 0.3749348691967, 32.5110528526921 0.37428452972358, 32.5080891669741 0.373319415381253, 32.5071339951984 0.373008366487714, 32.5058156644886 0.372634613808067, 32.5039847098843 0.372748161572657, 32.5007462548513 0.373164741556929, 32.5007233672711 0.374151999866444, 32.5000090878899 0.374251372500275, 32.4987077756722 0.374808182554351, 32.4986390878101 0.374837579067429, 32.4986388492938 0.374836412430961, 32.4986388430058 0.374836367195639, 32.4986220748886 0.374772968464637, 32.4986220686005 0.374772923229247, 32.4985843974811 0.374365892894235, 32.4985769205705 0.373832130318164, 32.4986127435782 0.373036009959664, 32.4985064823742 0.372257965446044, 32.4983791548992 0.371696921078639, 32.4974998013769 0.370059567203794, 32.4971244240238 0.368738553641537, 32.4965864654106 0.367937509806873, 32.4965168285537 0.367833748524583, 32.4957964282181 0.367318029394002, 32.495246070041 0.367073721768769, 32.4944046485214 0.366422515242161, 32.4932016328278 0.365436300582994, 32.4927614442397 0.364576713437909, 32.4925341628062 0.363653845779674, 32.4924523408638 0.362930053744187, 32.4927047442985 0.362223031214871, 32.4927493626417 0.362097782667923, 32.4929839448638 0.361482658402979, 32.4931845112414 0.360957949617508, 32.4936266980774 0.360315563900008, 32.4939488910176 0.359626478884213, 32.4943877079272 0.358687195749332, 32.4946580900275 0.35767393844511, 32.4948158136986 0.357058809499134, 32.4951637675086 0.356461626769511, 32.4955787553751 0.355069363291301, 32.4955828791831 0.35505557770707, 32.495662695753 0.354788034402795, 32.495861521776 0.353747647138581, 32.4959730069882 0.353250058518019, 32.4965681344183 0.353295300904222, 32.4968783570577 0.353385735458727, 32.4973293447048 0.353349593044519, 32.4981117684397 0.353195925631716, 32.4993438588684 0.352924591156143, 32.5000766718894 0.35262595522193, 32.50050395343 0.352599001235035, 32.5007106786206 0.352517488130621, 32.5007038665222 0.353241276061409, 32.5010105714918 0.353040890788946, 32.503598198935 0.351350660443924, 32.5049566614236 0.350283060750839, 32.5059576201635 0.34945082376218, 32.5067195872832 0.349125210880122, 32.5071245072613 0.34876326418717, 32.5076491364128 0.348292970421946, 32.5078814849489 0.348129488732762, 32.5084592629662 0.347722934745887, 32.5091973843637 0.347270735151075, 32.5095779933513 0.347225546355303, 32.5098873430986 0.347125806618164, 32.51012408128 0.347487787468874, 32.5105750553875 0.347723046290462, 32.5106773818876 0.347768260521265, 32.5109677422204 0.347596333607119, 32.5114676211527 0.34740648195061, 32.5118154045633 0.347210100275051, 32.5123487114003 0.34690893212546, 32.5130276439085 0.346447538818328, 32.5134922016878 0.345963159306498, 32.5138882893919 0.3455499246394, 32.5139817903018 0.345452544641278, 32.5146740011669 0.344448346584364, 32.5146999191174 0.344367416880037, 32.5148423203736 0.343923634303143, 32.5150577555058 0.343380840323877, 32.5153571045989 0.343040082406959, 32.515582684498 0.342783810817972, 32.5159532961209 0.342451802241282, 32.5164409664723 0.342014855923044, 32.5167744732965 0.341716197192402, 32.5170377592144 0.341191488573741, 32.5175145339274 0.340757357823118, 32.5175307299907 0.340749947322424, 32.5178715914066 0.340594474297864, 32.5183452737319 0.340161232575537, 32.5188014349007 0.339743998599211, 32.5197312800405 0.338839418626726, 32.5197990128474 0.338772571725425, 32.5205012188715 0.338079203718252, 32.5212049642859 0.337384229744615, 32.5214719995462 0.337120523013262, 32.5221304923828 0.336468164375819, 32.5224856268968 0.336116338391708, 32.5230587145255 0.335256948375308, 32.5233923665565 0.334994603590487, 32.5237716532248 0.334905390500562, 32.5238920942587 0.334877084648861, 32.5243916724138 0.334804627130906, 32.5250816343752 0.334596550291331, 32.5251645904619 0.334547779997222, 32.5252889374246 0.334884258953588))",POINT(32.5133620505223 0.356148577052009)
MUKONO,GOMA DIVISION,NANTABULIRWA,22241,4993,24.1,32.70091471944837,0.33343459647135515,36.709772573344416,36.37696935,29.398175430000002,126.4625393,110.6350331,0.04,0.05,0.06,0.08,0.36,0.49,13.28,18.06,8.57,11.66,8.09,11.01,0.14,0.19,0,0,0.04,0.05,0.04,0.05,2.2,3,0.12,0.16,0.48,0.65,2.3,3.13,70.32,95.64,19.07,25.93,0,0,0,0,58.32,79.32,41.06,55.84,8.57,11.66,25.94,35.28,605.86,136.01,4.45,3.44,3.01,0.57,0.5,"POLYGON((32.7267447270215 0.326316235088979, 32.7260875460271 0.327349920806261, 32.7253893037128 0.327970124423177, 32.7243624789601 0.328838406813345, 32.7242392357605 0.329830759342527, 32.7235409778878 0.331029835967413, 32.7235409385518 0.332435673524009, 32.7234998335166 0.333593420926873, 32.7231712184619 0.334957900443536, 32.7232122502392 0.336363738227056, 32.7235818626921 0.337686890086829, 32.7230068082958 0.339299450405009, 32.722965705174 0.340333152784176, 32.7222253255671 0.340828797000496, 32.721360716575 0.341348206357096, 32.7202110927885 0.342110721868183, 32.7198743100538 0.342330090283788, 32.7195342266168 0.342512895965392, 32.7193229128694 0.342634212269399, 32.7192651317793 0.342672436044285, 32.719071978002 0.342753866311628, 32.7188623149357 0.342881830556765, 32.7186656581836 0.342990517323046, 32.7187111123136 0.343064881558328, 32.718781186839 0.343167846661758, 32.7188531548366 0.343303226272065, 32.7189061841422 0.343402378361785, 32.7189611067504 0.343509156426765, 32.7190273978848 0.343609952796966, 32.7190576964386 0.343659791325561, 32.7191258764315 0.343797077984997, 32.7191921632355 0.343922923449635, 32.7192111014238 0.343976312681606, 32.7192357210348 0.344062116534105, 32.7192887474225 0.344229910036719, 32.7193038978825 0.344306179625834, 32.719309577282 0.344376728362309, 32.7193095744708 0.344472065461501, 32.7188047451569 0.344409884966639, 32.718127307339 0.344504193887629, 32.7176932269201 0.344594797988454, 32.7170856554587 0.344781409743532, 32.7160631198769 0.345286707769322, 32.715532196538 0.346062665931461, 32.7159730307105 0.347672843281919, 32.7153567283995 0.348571180673588, 32.7151855437503 0.348740633781421, 32.7147211780153 0.349200300535943, 32.7140326640267 0.349904061959408, 32.7137036488911 0.35048384204628, 32.7130464316359 0.352551226982201, 32.7120485234543 0.354935708241352, 32.7110132100866 0.357409565385954, 32.7102132148983 0.35839791015509, 32.710109588927 0.358525934213996, 32.7097399218509 0.359104796811992, 32.709069446656 0.359779733946825, 32.7090647967129 0.359784414834028, 32.7086720131062 0.360179812264722, 32.7077275912532 0.361958345861348, 32.706702421852 0.36335460922852, 32.7062557582387 0.363859267047702, 32.7059843177516 0.364188702970067, 32.7058100441933 0.364400212365055, 32.705466728731 0.365358103449939, 32.7050780092579 0.366113145946255, 32.7049202657951 0.366386251165557, 32.7041337393076 0.367750479802623, 32.7035192585666 0.368493298878356, 32.7034189404744 0.368807540963082, 32.7030208460391 0.370054550152838, 32.70197487649 0.371520110838642, 32.701833124573 0.371695026855137, 32.7012885171517 0.37235093924192, 32.6997577777772 0.374194538804626, 32.6995329893518 0.374465267354118, 32.6994303056264 0.374568633740364, 32.6993261938385 0.374673437677492, 32.6970480382034 0.376966737345184, 32.6961444136014 0.37800040646935, 32.695245325232 0.378679203713372, 32.6952174005407 0.378700286358922, 32.6938443129998 0.379736941794085, 32.6930639076262 0.380687919289368, 32.6921192222658 0.381390801440447, 32.6919823406771 0.381519981686831, 32.6914620471693 0.382010998656334, 32.690024491124 0.382837906916952, 32.6889976589731 0.383623480464919, 32.6888329007748 0.383734049445034, 32.6885047809611 0.383954246526504, 32.6876011973138 0.383871517949509, 32.6873865615685 0.383848764397917, 32.687343417658 0.383844191241966, 32.6868208288826 0.383788792055974, 32.6860815173193 0.384160896306508, 32.6853832820087 0.384408959278527, 32.6843564768652 0.384408920858121, 32.6837319856612 0.384953740312372, 32.6831242733802 0.38548392190222, 32.6825566622575 0.385794668471823, 32.6825330946616 0.385807569804779, 32.6819536934295 0.386124771034379, 32.6808447132844 0.38699303642642, 32.6797768187366 0.387489171557495, 32.6788321316115 0.388233399135758, 32.6776410083215 0.389060312899463, 32.6764909676874 0.389597791576447, 32.6748611543752 0.391084490849865, 32.6748609190409 0.391084007669566, 32.674861094208 0.391083338234001, 32.674834747731 0.391030077226609, 32.6747665743465 0.390892255809914, 32.6746625563879 0.390768172067774, 32.6745059965595 0.390581410870086, 32.6744494067546 0.390409365254285, 32.6744117643848 0.390294923915432, 32.6743214948425 0.390162347206211, 32.6741514032773 0.38991253735048, 32.6741537855747 0.389125523214662, 32.673678421945 0.388519799916575, 32.673431445066 0.388205095129139, 32.6732271587198 0.387952017931839, 32.6729103580005 0.387559554263011, 32.6724931279779 0.386527473170872, 32.6724937741699 0.386526483432475, 32.6727637638033 0.386113082177959, 32.6729871062541 0.38577110581633, 32.6740598533844 0.384820451355399, 32.6750846779371 0.383988905646724, 32.6751946981432 0.383854852965986, 32.6753031150187 0.383722754414844, 32.6756551323661 0.383293836455565, 32.6757289725571 0.383203865763807, 32.6758253255883 0.382973867851386, 32.6760881883221 0.382346404632382, 32.6763291128845 0.381297793219063, 32.6764707522274 0.380519807877215, 32.6766675963945 0.379438602144879, 32.6770755165163 0.378199697995946, 32.6774448872202 0.377497541201047, 32.67839069595 0.375699598484232, 32.6804884125614 0.373869687086454, 32.6807175191832 0.373627212286938, 32.6812635838696 0.373049284091386, 32.6817271830093 0.372459657453237, 32.6819557098451 0.372169007057972, 32.6828421799729 0.370876149800258, 32.6829347941423 0.37074108375818, 32.6833398199586 0.369912328812475, 32.6833654028501 0.369859981677975, 32.6833813834536 0.369753228799909, 32.6834867342283 0.369049489962833, 32.6836578500399 0.367499822150127, 32.6836578329822 0.367499336314336, 32.6836250473064 0.36655766985355, 32.683613789698 0.366475907099159, 32.6833460229276 0.364530671401901, 32.683345879175 0.364529630062959, 32.6834065472672 0.36340946189022, 32.6834466112997 0.362669710054352, 32.6836660618314 0.360857843924543, 32.6837264833604 0.360536067550263, 32.6838742468083 0.358843222996084, 32.68391035624 0.358390330863001, 32.6839483869638 0.357913339739162, 32.6839924357299 0.357474253014305, 32.6840464497818 0.356935825547161, 32.6842385885493 0.35629248328116, 32.6843625855127 0.35459957712588, 32.6844900566213 0.353298777166102, 32.6845587684777 0.352597596253104, 32.684558842195 0.352596846241839, 32.6844940882945 0.350426365632269, 32.6844480165829 0.349943461031516, 32.6843097303731 0.348494016234804, 32.6841174235203 0.345261851154009, 32.6840506532172 0.34426401304086, 32.6839354561769 0.342542486941213, 32.6839400642385 0.34206360647798, 32.6839527836297 0.340741920714734, 32.6840045192746 0.339358830106907, 32.6842590843641 0.337389917556999, 32.6843083336307 0.337009004455869, 32.6844738859349 0.33572857077724, 32.6845501067534 0.335139046135569, 32.6846009370253 0.334747885285913, 32.6846100285307 0.334510380907042, 32.6846785123483 0.332721312481774, 32.6848251521472 0.331696076377785, 32.6848726148175 0.331364237050243, 32.684880839152 0.331122296785175, 32.6848987576187 0.330595224913075, 32.6850074763329 0.329233727104066, 32.6851212680916 0.327808690856801, 32.6851762948963 0.327245075744055, 32.6853173564867 0.325800216060368, 32.6853464640628 0.324900376754637, 32.6854420156752 0.323615917219135, 32.6854423968743 0.323610794699654, 32.6854428528019 0.323601221858905, 32.6856205633016 0.319865255331803, 32.6857677664901 0.317939235044469, 32.6859054457957 0.316137811710745, 32.6859617002628 0.313251752606754, 32.6860450185584 0.311268666726929, 32.6861795036476 0.308067706260015, 32.6863253917464 0.303019797297334, 32.6863253935446 0.303019769251057, 32.6863254052391 0.303019365745659, 32.6864722927881 0.301635433242391, 32.6864723224528 0.301635146446599, 32.6865242551265 0.300515804124273, 32.6867392817468 0.29588112649335, 32.6870112707175 0.290950402801164, 32.6870542819084 0.289798068533066, 32.687054748668 0.289785559868331, 32.6870548332058 0.289783313447522, 32.6874473988397 0.289379360017229, 32.6926901712953 0.288531940438109, 32.6954837556206 0.288454965218834, 32.6998845896707 0.289071494983983, 32.7034626388835 0.290400727784303, 32.7053760295855 0.291286869692945, 32.7082844050249 0.291903357995418, 32.7099299307393 0.292404235258108, 32.7100294162165 0.292405709854707, 32.7100908918437 0.294870528783521, 32.7100994519353 0.294898197258118, 32.7108711918405 0.29739278424797, 32.7123908044431 0.299170793511567, 32.7175041384778 0.303615852312797, 32.7198041344833 0.304815009959887, 32.7225148605026 0.305642043574559, 32.7247737951255 0.306551762335214, 32.7257594990681 0.30742009919063, 32.726786256289 0.309074052055252, 32.7280183744287 0.310645315017441, 32.7289313656531 0.311796708757693, 32.7299692302055 0.313105583165315, 32.7304885700404 0.313884641751552, 32.7298010363529 0.316090378122397, 32.7289469006878 0.318501688540747, 32.7268886050198 0.321664571347864, 32.7267448112155 0.323173774698763, 32.726991200806 0.324786360736245, 32.7271580081244 0.32508025514627, 32.7267447270215 0.326316235088979))",POINT(32.7009147194484 0.333434596471355)
