district,subcounty,parish,population,households,fem_hhs,long,lat,km2,area,perimeter,T123,not_T123,light_gas_per_km,light_lpg_per_km,light_biogas_per_km,light_par_lantern_per_km,light_par_tadooba_per_km,light_candles_per_km,light_firewood_per_km,light_cow_dung_per_km,light_grass_per_km,cook_elec_therm_per_km,cook_gas_per_km,cook_lpg_per_km,cook_biogas_per_km,cook_par_lantern_per_km,cook_charc_per_km,cook_firewood_per_km,cook_dung_per_km,cook_grass_per_km,waste_burn_per_km,kitch_outside_built_per_km,kitch_make_shift_per_km,kitch_open_space_per_km,pop_density,hhs_density,pop_per_hhs,T123_per_sqkm,not_T123_per_sqkm,T123_per_person,not_T123_per_person,geometry,centroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUKONO,GOMA DIVISION,NANTABULIRWA,22241,4993,24.1,32.70091472,0.333434596,36.70977257,36.37696935,29.39817543,126.4625393,110.6350331,0.05,0.08,0.49,18.06,11.66,11.01,0.19,0,0.05,0.05,3,0.16,0.65,3.13,95.64,25.93,0,0,79.32,55.84,11.66,35.28,605.86,136.01,4.45,3.44,3.01,0.57,0.5,"POLYGON((32.7267447270215 0.326316235088979, 32.7260875460271 0.327349920806261, 32.7253893037128 0.327970124423177, 32.7243624789601 0.328838406813345, 32.7242392357605 0.329830759342527, 32.7235409778878 0.331029835967413, 32.7235409385518 0.332435673524009, 32.7234998335166 0.333593420926873, 32.7231712184619 0.334957900443536, 32.7232122502392 0.336363738227056, 32.7235818626921 0.337686890086829, 32.7230068082958 0.339299450405009, 32.722965705174 0.340333152784176, 32.7222253255671 0.340828797000496, 32.721360716575 0.341348206357096, 32.7202110927885 0.342110721868183, 32.7198743100538 0.342330090283788, 32.7195342266168 0.342512895965392, 32.7193229128694 0.342634212269399, 32.7192651317793 0.342672436044285, 32.719071978002 0.342753866311628, 32.7188623149357 0.342881830556765, 32.7186656581836 0.342990517323046, 32.7187111123136 0.343064881558328, 32.718781186839 0.343167846661758, 32.7188531548366 0.343303226272065, 32.7189061841422 0.343402378361785, 32.7189611067504 0.343509156426765, 32.7190273978848 0.343609952796966, 32.7190576964386 0.343659791325561, 32.7191258764315 0.343797077984997, 32.7191921632355 0.343922923449635, 32.7192111014238 0.343976312681606, 32.7192357210348 0.344062116534105, 32.7192887474225 0.344229910036719, 32.7193038978825 0.344306179625834, 32.719309577282 0.344376728362309, 32.7193095744708 0.344472065461501, 32.7188047451569 0.344409884966639, 32.718127307339 0.344504193887629, 32.7176932269201 0.344594797988454, 32.7170856554587 0.344781409743532, 32.7160631198769 0.345286707769322, 32.715532196538 0.346062665931461, 32.7159730307105 0.347672843281919, 32.7153567283995 0.348571180673588, 32.7151855437503 0.348740633781421, 32.7147211780153 0.349200300535943, 32.7140326640267 0.349904061959408, 32.7137036488911 0.35048384204628, 32.7130464316359 0.352551226982201, 32.7120485234543 0.354935708241352, 32.7110132100866 0.357409565385954, 32.7102132148983 0.35839791015509, 32.710109588927 0.358525934213996, 32.7097399218509 0.359104796811992, 32.709069446656 0.359779733946825, 32.7090647967129 0.359784414834028, 32.7086720131062 0.360179812264722, 32.7077275912532 0.361958345861348, 32.706702421852 0.36335460922852, 32.7062557582387 0.363859267047702, 32.7059843177516 0.364188702970067, 32.7058100441933 0.364400212365055, 32.705466728731 0.365358103449939, 32.7050780092579 0.366113145946255, 32.7049202657951 0.366386251165557, 32.7041337393076 0.367750479802623, 32.7035192585666 0.368493298878356, 32.7034189404744 0.368807540963082, 32.7030208460391 0.370054550152838, 32.70197487649 0.371520110838642, 32.701833124573 0.371695026855137, 32.7012885171517 0.37235093924192, 32.6997577777772 0.374194538804626, 32.6995329893518 0.374465267354118, 32.6994303056264 0.374568633740364, 32.6993261938385 0.374673437677492, 32.6970480382034 0.376966737345184, 32.6961444136014 0.37800040646935, 32.695245325232 0.378679203713372, 32.6952174005407 0.378700286358922, 32.6938443129998 0.379736941794085, 32.6930639076262 0.380687919289368, 32.6921192222658 0.381390801440447, 32.6919823406771 0.381519981686831, 32.6914620471693 0.382010998656334, 32.690024491124 0.382837906916952, 32.6889976589731 0.383623480464919, 32.6888329007748 0.383734049445034, 32.6885047809611 0.383954246526504, 32.6876011973138 0.383871517949509, 32.6873865615685 0.383848764397917, 32.687343417658 0.383844191241966, 32.6868208288826 0.383788792055974, 32.6860815173193 0.384160896306508, 32.6853832820087 0.384408959278527, 32.6843564768652 0.384408920858121, 32.6837319856612 0.384953740312372, 32.6831242733802 0.38548392190222, 32.6825566622575 0.385794668471823, 32.6825330946616 0.385807569804779, 32.6819536934295 0.386124771034379, 32.6808447132844 0.38699303642642, 32.6797768187366 0.387489171557495, 32.6788321316115 0.388233399135758, 32.6776410083215 0.389060312899463, 32.6764909676874 0.389597791576447, 32.6748611543752 0.391084490849865, 32.6748609190409 0.391084007669566, 32.674861094208 0.391083338234001, 32.674834747731 0.391030077226609, 32.6747665743465 0.390892255809914, 32.6746625563879 0.390768172067774, 32.6745059965595 0.390581410870086, 32.6744494067546 0.390409365254285, 32.6744117643848 0.390294923915432, 32.6743214948425 0.390162347206211, 32.6741514032773 0.38991253735048, 32.6741537855747 0.389125523214662, 32.673678421945 0.388519799916575, 32.673431445066 0.388205095129139, 32.6732271587198 0.387952017931839, 32.6729103580005 0.387559554263011, 32.6724931279779 0.386527473170872, 32.6724937741699 0.386526483432475, 32.6727637638033 0.386113082177959, 32.6729871062541 0.38577110581633, 32.6740598533844 0.384820451355399, 32.6750846779371 0.383988905646724, 32.6751946981432 0.383854852965986, 32.6753031150187 0.383722754414844, 32.6756551323661 0.383293836455565, 32.6757289725571 0.383203865763807, 32.6758253255883 0.382973867851386, 32.6760881883221 0.382346404632382, 32.6763291128845 0.381297793219063, 32.6764707522274 0.380519807877215, 32.6766675963945 0.379438602144879, 32.6770755165163 0.378199697995946, 32.6774448872202 0.377497541201047, 32.67839069595 0.375699598484232, 32.6804884125614 0.373869687086454, 32.6807175191832 0.373627212286938, 32.6812635838696 0.373049284091386, 32.6817271830093 0.372459657453237, 32.6819557098451 0.372169007057972, 32.6828421799729 0.370876149800258, 32.6829347941423 0.37074108375818, 32.6833398199586 0.369912328812475, 32.6833654028501 0.369859981677975, 32.6833813834536 0.369753228799909, 32.6834867342283 0.369049489962833, 32.6836578500399 0.367499822150127, 32.6836578329822 0.367499336314336, 32.6836250473064 0.36655766985355, 32.683613789698 0.366475907099159, 32.6833460229276 0.364530671401901, 32.683345879175 0.364529630062959, 32.6834065472672 0.36340946189022, 32.6834466112997 0.362669710054352, 32.6836660618314 0.360857843924543, 32.6837264833604 0.360536067550263, 32.6838742468083 0.358843222996084, 32.68391035624 0.358390330863001, 32.6839483869638 0.357913339739162, 32.6839924357299 0.357474253014305, 32.6840464497818 0.356935825547161, 32.6842385885493 0.35629248328116, 32.6843625855127 0.35459957712588, 32.6844900566213 0.353298777166102, 32.6845587684777 0.352597596253104, 32.684558842195 0.352596846241839, 32.6844940882945 0.350426365632269, 32.6844480165829 0.349943461031516, 32.6843097303731 0.348494016234804, 32.6841174235203 0.345261851154009, 32.6840506532172 0.34426401304086, 32.6839354561769 0.342542486941213, 32.6839400642385 0.34206360647798, 32.6839527836297 0.340741920714734, 32.6840045192746 0.339358830106907, 32.6842590843641 0.337389917556999, 32.6843083336307 0.337009004455869, 32.6844738859349 0.33572857077724, 32.6845501067534 0.335139046135569, 32.6846009370253 0.334747885285913, 32.6846100285307 0.334510380907042, 32.6846785123483 0.332721312481774, 32.6848251521472 0.331696076377785, 32.6848726148175 0.331364237050243, 32.684880839152 0.331122296785175, 32.6848987576187 0.330595224913075, 32.6850074763329 0.329233727104066, 32.6851212680916 0.327808690856801, 32.6851762948963 0.327245075744055, 32.6853173564867 0.325800216060368, 32.6853464640628 0.324900376754637, 32.6854420156752 0.323615917219135, 32.6854423968743 0.323610794699654, 32.6854428528019 0.323601221858905, 32.6856205633016 0.319865255331803, 32.6857677664901 0.317939235044469, 32.6859054457957 0.316137811710745, 32.6859617002628 0.313251752606754, 32.6860450185584 0.311268666726929, 32.6861795036476 0.308067706260015, 32.6863253917464 0.303019797297334, 32.6863253935446 0.303019769251057, 32.6863254052391 0.303019365745659, 32.6864722927881 0.301635433242391, 32.6864723224528 0.301635146446599, 32.6865242551265 0.300515804124273, 32.6867392817468 0.29588112649335, 32.6870112707175 0.290950402801164, 32.6870542819084 0.289798068533066, 32.687054748668 0.289785559868331, 32.6870548332058 0.289783313447522, 32.6874473988397 0.289379360017229, 32.6926901712953 0.288531940438109, 32.6954837556206 0.288454965218834, 32.6998845896707 0.289071494983983, 32.7034626388835 0.290400727784303, 32.7053760295855 0.291286869692945, 32.7082844050249 0.291903357995418, 32.7099299307393 0.292404235258108, 32.7100294162165 0.292405709854707, 32.7100908918437 0.294870528783521, 32.7100994519353 0.294898197258118, 32.7108711918405 0.29739278424797, 32.7123908044431 0.299170793511567, 32.7175041384778 0.303615852312797, 32.7198041344833 0.304815009959887, 32.7225148605026 0.305642043574559, 32.7247737951255 0.306551762335214, 32.7257594990681 0.30742009919063, 32.726786256289 0.309074052055252, 32.7280183744287 0.310645315017441, 32.7289313656531 0.311796708757693, 32.7299692302055 0.313105583165315, 32.7304885700404 0.313884641751552, 32.7298010363529 0.316090378122397, 32.7289469006878 0.318501688540747, 32.7268886050198 0.321664571347864, 32.7267448112155 0.323173774698763, 32.726991200806 0.324786360736245, 32.7271580081244 0.32508025514627, 32.7267447270215 0.326316235088979))",POINT(32.7009147194484 0.333434596471355),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMPALA,NAKAWA DIVISION,KIWATULE,16915,4497,32.2,32.62671378,0.368905589,2.907239652,2.88162884,7.291392195,40.1933429,32.83974199,3.44,0,2.06,63.63,33.02,71.2,2.06,0,0,1.38,221.52,16.85,12.04,49.19,1069.4,52.97,0,0,324.71,345,46.78,454.04,5818.23,1546.83,3.76,13.83,11.3,0.24,0.19,"POLYGON((32.6233900600041 0.357431522624744, 32.6240344127887 0.357563689408839, 32.624845817754 0.357809984797947, 32.6252280287073 0.35795910860223, 32.625285941203 0.357981703556478, 32.6257376790001 0.358157955416558, 32.6262573806619 0.358366068737751, 32.6267484954991 0.358551255378828, 32.6267547087854 0.358555312380419, 32.626810687674 0.358591858871727, 32.6269568300116 0.358692179779281, 32.6271959728592 0.358835974308487, 32.6273653644154 0.358969734469083, 32.6274716482389 0.359080085219691, 32.6276410393962 0.359223876871269, 32.6279001103867 0.359391079035815, 32.6279964296913 0.359501429380136, 32.6279233462282 0.359752214453404, 32.6283451700379 0.359949517824215, 32.6289596386634 0.360217049572697, 32.6292054254524 0.360340781419145, 32.6295342500393 0.360464516692879, 32.6297003219388 0.360554806951018, 32.6299059107581 0.360616336111798, 32.6300889336988 0.360680216601762, 32.6302583278079 0.360753787845925, 32.6303646138759 0.360810637338307, 32.6305439729376 0.360874177502082, 32.6307067237651 0.36095443613199, 32.630856188685 0.361031349479731, 32.6310023318254 0.361114952160897, 32.6310754022425 0.36118517560744, 32.6312215459329 0.361255401158517, 32.631410870783 0.361288848160565, 32.6313809690219 0.361489476759794, 32.63135770457 0.361830546511404, 32.6314407115736 0.362587593703877, 32.6314240936505 0.362841724136121, 32.6314141194278 0.363079135689531, 32.63143071785 0.363303173019871, 32.6314288604617 0.363364827532125, 32.6315546740321 0.363463349078958, 32.6315646636666 0.363465025026496, 32.631660977907 0.363481189049892, 32.631743658481 0.363493084058218, 32.6319658277749 0.363560508165357, 32.6321469738531 0.363637108919772, 32.6324078224955 0.363742891871888, 32.6326433103157 0.36387420486547, 32.6329403850272 0.364082113676092, 32.6331758709418 0.3642608419448, 32.6332374579818 0.364355674128456, 32.6332908588708 0.364408670086785, 32.6332922397359 0.36439650894816, 32.6332923278124 0.364396359673619, 32.6332909415458 0.364408752419354, 32.6333381867817 0.364432535741159, 32.6336747959237 0.364955752482373, 32.633928727797 0.365407619905153, 32.6340219073358 0.365648025877921, 32.6341176927669 0.365895157623565, 32.634348003523 0.366287568860964, 32.6343912595192 0.366333840558938, 32.6343242116968 0.366820613171176, 32.6342963560743 0.367022849591632, 32.6342724018705 0.367196761313705, 32.6342447772663 0.367397323111224, 32.6342276589994 0.367468950601409, 32.6341858309217 0.367643972569586, 32.6341419588933 0.367827548543645, 32.6341149103156 0.367940728334523, 32.6340966208631 0.368017256621813, 32.6340763180238 0.368102209543238, 32.6338945119248 0.368862948349646, 32.6338945135817 0.368866350686105, 32.633894467461 0.369982263039539, 32.6338944656712 0.369984797149782, 32.6338910291532 0.370071126843654, 32.6338736979428 0.370506569262135, 32.6338416592391 0.37131153151236, 32.6337784251052 0.372900269440073, 32.6337777962707 0.3729160729974, 32.6337778510257 0.372917620064555, 32.633782755617 0.373056701399509, 32.6338325266931 0.37446808260636, 32.6338358613329 0.374562659977781, 32.6341276042374 0.375675472485784, 32.6342875605615 0.376288083505812, 32.6342879000744 0.37629256458017, 32.6343085124643 0.376564363048184, 32.6343056082112 0.376878746418124, 32.6343344842436 0.377805596046844, 32.6343353206103 0.377812813909373, 32.6343337479541 0.377918724458614, 32.6342691764216 0.378229237531175, 32.6342595963516 0.378275307990716, 32.6340783710623 0.378366519168745, 32.6338724345343 0.37839968178062, 32.6332793451672 0.378366484957009, 32.6323897122534 0.378291813126008, 32.6319778526773 0.378084477018447, 32.6316236601776 0.377736168726338, 32.6311623862107 0.377288342511674, 32.6307834690725 0.377263448334554, 32.6302974611179 0.377338061946867, 32.6298279323561 0.37730487119702, 32.6294407827407 0.377147292795111, 32.6290206869775 0.37689849318809, 32.6287488627056 0.376707750172119, 32.6286005978065 0.376517010688443, 32.6284276199814 0.376351149823428, 32.6280733346716 0.376183986478517, 32.6268932124481 0.376263227375183, 32.6267048164887 0.376276315864724, 32.6252371100294 0.376378288567729, 32.6252336069701 0.376378532688262, 32.6252014449676 0.376380767743141, 32.624807355517 0.376298702829883, 32.6246842498034 0.376346171492066, 32.6238596029977 0.376444039229043, 32.6222843763561 0.376733478101622, 32.6220236068959 0.376733466634379, 32.6215258362391 0.376733444723123, 32.6204876602849 0.376994997252366, 32.6198493446316 0.377155811016878, 32.6196588120086 0.377203813980963, 32.619551534214 0.377242726437343, 32.6193644325384 0.377069573826291, 32.6192630537029 0.376984516191016, 32.6192123667389 0.376875645092968, 32.6190974777251 0.376593262241481, 32.619073826438 0.376487794072038, 32.6190298990251 0.376365315463129, 32.6189893501946 0.376253042187046, 32.6189386650143 0.376103345842913, 32.6189150138735 0.375994475948895, 32.6188947445827 0.375820966147313, 32.6188846123825 0.375667868968438, 32.6188339303228 0.375467140385739, 32.6188237951505 0.375382085897427, 32.6187873775364 0.37531104427864, 32.6187697290072 0.375276617294269, 32.6186953883727 0.375116712921659, 32.6186896303597 0.37510034456875, 32.6186379448245 0.374953406665592, 32.6186311906143 0.374844538428554, 32.6186176787821 0.374705049824325, 32.6186143058292 0.374565561667953, 32.6185771351402 0.374494114707981, 32.618546722655 0.374419266319443, 32.6185298282365 0.374361428973323, 32.6185872820076 0.374289987093119, 32.6186345991274 0.374187924695569, 32.6186379833339 0.374068849009936, 32.6186447485002 0.373925959572724, 32.6186380689008 0.373754287854332, 32.6186379970865 0.373752450375614, 32.6186413780356 0.373708221736851, 32.6186853158221 0.37361296354567, 32.6187191145667 0.373500694461165, 32.618773189432 0.37340543761815, 32.6187562948591 0.373351002000149, 32.6187495398906 0.373259143304028, 32.6187427872818 0.373112851542655, 32.6187630712214 0.372949548713696, 32.6188070089808 0.372833878342983, 32.6188103928858 0.372742020091772, 32.6188915072169 0.372541297309035, 32.6188779924179 0.3724902644725, 32.6188171650797 0.372415413850677, 32.6188104107055 0.37233036041873, 32.6188036555792 0.372241904354785, 32.6188036607289 0.372122829422238, 32.6188022231997 0.372114628120267, 32.6187833888721 0.372007155328592, 32.6186854023166 0.371615904444632, 32.6186110692685 0.371258675494591, 32.6186178433382 0.370908255359084, 32.618594192591 0.370789179395318, 32.6186246113829 0.370697322326291, 32.6186550328114 0.37054422692747, 32.6186786964766 0.370384327777938, 32.6187496707064 0.370231234145388, 32.6188476804647 0.370105359125884, 32.6189085102735 0.370101959144818, 32.6190774826104 0.370093801455903, 32.6190842428776 0.370063182584205, 32.6190572105807 0.369981529995853, 32.6190943872864 0.369913488922668, 32.6191552225229 0.369804622720016, 32.6192329532029 0.369709365969814, 32.619226199215 0.369593692464507, 32.619141715864 0.369542656545098, 32.6191180622973 0.369467808464543, 32.6191214454326 0.369392961559678, 32.6191321975664 0.369258817255506, 32.6191383514045 0.369182028952863, 32.6191522895335 0.369043484253814, 32.619177170117 0.368796159840034, 32.619276310123 0.368739133636244, 32.6193258825578 0.368664283304244, 32.6195029176712 0.368575181094792, 32.6195737305952 0.36855736128122, 32.6196799515656 0.368514592775012, 32.6197295211181 0.368486080119566, 32.6197720102979 0.368450438004221, 32.6198180399609 0.368421924289733, 32.6198923939775 0.368396977281362, 32.619924261083 0.368375592105854, 32.6199738312433 0.368332821141471, 32.6200234038225 0.368254406220501, 32.6200835969535 0.368197377407269, 32.6201473313275 0.368129656825492, 32.6202004409062 0.368118965390184, 32.6202216862542 0.368083323255961, 32.6202569310446 0.368030104925341, 32.6202641757471 0.368019165425834, 32.6202748023621 0.367919362262472, 32.6203012461514 0.367872115573772, 32.6203121831682 0.367806066430824, 32.6203066772162 0.367694805261301, 32.6202995994329 0.367605695063332, 32.6202966667479 0.367591662808979, 32.6202854400622 0.367537970210641, 32.6203031467302 0.367473811308602, 32.6203123789079 0.36742995655719, 32.6203350164184 0.367370444482827, 32.6203350186916 0.367316978547141, 32.620331481086 0.367242124998913, 32.6203704302251 0.367188660740788, 32.6204200018877 0.367110245807208, 32.6204341689745 0.367017571946374, 32.6204377130921 0.36693915503022, 32.6204872856586 0.366839353538539, 32.620540401724 0.366696779086217, 32.6206183034729 0.366486482356789, 32.6206714199822 0.366333214168814, 32.6207034128186 0.366271105957844, 32.6207209923862 0.366236977246378, 32.6207670261068 0.366112224460649, 32.620805979607 0.365955391987312, 32.620855554265 0.365805689121332, 32.6208662340071 0.365766373381554, 32.6208908813629 0.365675629718721, 32.6209273907413 0.365533187531963, 32.620999161218 0.365418798444821, 32.6210255274478 0.365271034287374, 32.6210963532738 0.364968061843112, 32.6211261885395 0.364816660876223, 32.6211388491107 0.364752416701692, 32.6212273701449 0.364634794866899, 32.6212663225561 0.364502912606157, 32.6213442254211 0.364285486677887, 32.6213796373372 0.364146476012826, 32.621404425392 0.364064495413861, 32.6215231237728 0.363908968195621, 32.6215891700799 0.363591362654057, 32.6215846310319 0.363587341002795, 32.621590569602 0.363584632538486, 32.6216302200298 0.363393958293738, 32.6216538312313 0.363280414846142, 32.6216499275797 0.363275630547241, 32.6216551992931 0.363273836721225, 32.6216719126571 0.363193464356782, 32.6217767757143 0.362848662905451, 32.621776793138 0.362432009057425, 32.6217768033663 0.362187197689681, 32.6217532636531 0.362009652698627, 32.6219888313165 0.362047107915202, 32.6220090537499 0.361908031445976, 32.6221034181868 0.361460272036654, 32.6221573400191 0.361236393516812, 32.6222719234873 0.360751321777067, 32.622274301851 0.360740120599553, 32.6223378003783 0.360441104073347, 32.6223662877022 0.360306955019647, 32.6224100988743 0.360116996542906, 32.6224438006022 0.35995417547418, 32.6224606520268 0.359859196474285, 32.6224842462772 0.35967602160305, 32.6225010974171 0.359587826156015, 32.622598820089 0.359421615989944, 32.6226594766194 0.359282540292308, 32.6226729587552 0.35919095292417, 32.622723507807 0.359031524328015, 32.6227673235593 0.358729625428951, 32.6228212506872 0.358353099709374, 32.6228819135386 0.358081731119048, 32.6229156161918 0.357895164876899, 32.62298301716 0.357627188337612, 32.6229931311887 0.357488110513208, 32.6229975446275 0.35737780058446, 32.6233900600041 0.357431522624744))",POINT(32.6267137789408 0.368905588996633),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
