,nakasero_ii(2)
kansanga,0.3101319520219026
nansana_east,0.42719497769098363
lubaga,0.44482341170751344
nansana_west,0.43115696964563544
lukuli(2),0.3128911721325899
bugolobi,0.3130145621139084
kyaliwajjala,0.40693640909855666
seguku,0.3972718086862159
kiwafu,0.37097769216067356
kiwatule,0.4428710784812906
civic_centre,0.34298923578450774
makindye_i,0.34652972505270474
