,nansana_west
lukuli(2),0.4290184460734226
bugolobi,0.4792555267458334
kyaliwajjala,0.3973838172284147
seguku,0.34770343852999225
kiwafu,0.4085718687022435
kiwatule,0.41706154278566887
civic_centre,0.3636557718913055
makindye_i,0.387382726204756
