,lukuli(2)
bugolobi,0.31137392788927437
kyaliwajjala,0.39683596962179685
seguku,0.386370148743381
kiwafu,0.3507217865457518
kiwatule,0.4367476157574769
civic_centre,0.3509643284514807
makindye_i,0.2917112379486941
