,lubaga
nansana_west,0.3558693441269878
lukuli(2),0.4425012204890416
bugolobi,0.49960290775694
kyaliwajjala,0.38544201500436115
seguku,0.3256061360688684
kiwafu,0.4237588987371715
kiwatule,0.35298941024698843
civic_centre,0.3526898779249075
makindye_i,0.40390096864293196
