,kansanga
nansana_east,0.47291211248024023
lubaga,0.49754081320984384
nansana_west,0.4781823327694963
lukuli(2),0.2965502083128332
bugolobi,0.2535221288333561
kyaliwajjala,0.44070556442790443
seguku,0.44810104660946454
kiwafu,0.3765565714790514
kiwatule,0.47845784192312185
civic_centre,0.38945633938539176
makindye_i,0.36230420915929445
