,nansana_east
lubaga,0.3472837730788297
nansana_west,0.35757345022690706
lukuli(2),0.40904151008124834
bugolobi,0.4777196380860211
kyaliwajjala,0.3790545803107219
seguku,0.333311332015578
kiwafu,0.40648316250192534
kiwatule,0.3826246635615791
civic_centre,0.3512785718769207
makindye_i,0.3749145841336973
